,회사명,채용공고 제목,채용공고 세부 사항,기술 세부 사항,링크
61,(주)미니레코드,인공지능 음성 합성(TTS) 전문가 채용,"서울전체 외,1 ~ 5년정규직,학력무관","데이터분석가,웹개발,SE(시스템엔지니어),딥러닝,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47935490
62,(주)딥인사이트,Data Scientist,"경기전체 외,신입경력정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47926698
63,데이터플로,인공지능 AI 모형 개발 최적화 & 데이터 분석,"서울 강남구,경력무관정규직,학력무관","클라우드,AWS,Azure,Docker,Kubernetes",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47946949
64,(주)앤씨앤,"[앤씨앤/넥스트칩] 2024년 4월 연구소, 영업마케팅 각 부문 모집","경기 성남시 분당구 외,신입경력정규직,학력무관","데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발,유지보수",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47865244
65,(주)옥토봇,(주)옥토봇 AI 엔지니어 모집,"서울 강남구,신입경력정규직 외,대학교(4년)↑","딥러닝,머신러닝,빅데이터,알고리즘,영상처리",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47727681
66,국립암센터,의료인공지능 개발 연구원 모집,"경기 고양시 일산동구,경력무관계약직,대학교(4년)↑","딥러닝,머신러닝,Python,Pytorch",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47945757
67,(주)엘로이랩,[병역특례] 전문연구요원(병역특례) AI Researcher 채용,"서울 구로구,신입경력병역특례,석사↑","백엔드/서버개발,프론트엔드,SI개발,딥러닝,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47920777
68,(주)인텔리즈,머신비전 및 딥러닝 응용 소프트웨어 개발자 모집,"서울 성동구,경력(년수무관)정규직,대학(2,3년)↑","네트워크,솔루션,H/W,IoT,S/W",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47644868
69,매드업,[광고사업부] 데이터 분석가 채용,"서울 서초구,경력 3년↑정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,AI(인공지능),솔루션",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47937491
70,(주)덴컴,[덴컴] AI Research Leader 채용,"서울 강남구,경력 10년↑정규직,박사","딥러닝,머신러닝,음성인식,NLP(자연어처리),NLU(자연어이해)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47937215
71,(주)덴컴,[덴컴] 음성 AI Researcher 채용,"서울 강남구,경력 4년↑정규직,대학교(4년)↑","딥러닝,머신러닝,음성인식,NLP(자연어처리),NLU(자연어이해)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47937160
72,(주)이콜트리,소프트웨어 연구 엔지니어 경력/신입 채용 (정규직),"서울 강남구,신입경력정규직,대학교(4년)↑","백엔드/서버개발,프론트엔드,데이터시각화,딥러닝,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47934017
73,(주)시스콘로보틱스,자율주행 모바일 로봇 Software Engineer [신입/경력],"인천 서구 외,경력무관정규직,대학교(4년)↑","FAE,QA/테스터,딥러닝,머신러닝,영상처리",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47871467
74,주식회사카운트다운에이아이,카운트다운AI Gen AI 개발자,"서울 강남구,경력무관정규직,대학교(4년)↑","백엔드/서버개발,앱개발,딥러닝,머신러닝,컴퓨터비전",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47935205
75,주식회사카운트다운에이아이,카운트다운AI 풀스택 개발자,"서울 강남구,경력무관정규직,대학교(4년)↑","백엔드/서버개발,앱개발,딥러닝,머신러닝,컴퓨터비전",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47935204
76,(주)메디픽셀,Machine Learning Engineer (Vision),"서울전체 외,2 ~ 10년정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47920450
77,(주)노리스페이스,업무자동화를 함께 이끌 NLP Research Engineer분을 모십니다,"서울 광진구,신입경력정규직,대학교(4년)↑","딥러닝,머신러닝,NLP(자연어처리),AI(인공지능),Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47934237
78,(주)에이치아이티에스,딥러닝 응용 Application 연구/개발 전문인력 모집,"경기전체 외,경력무관정규직,대학교(4년)↑","딥러닝,머신러닝,알고리즘,영상처리,이미지프로세싱",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47932893
79,위드로봇(주),C++ 기반 딥러닝(YOLO) 개발자 신입/경력 채용,"서울 송파구,5 ~ 20년정규직,대학교(4년)↑","딥러닝,머신러닝,C++,Pytorch,Tensorflow",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47803682
80,(주)디파인,[AI 기술 개발] 부문 신입/경력 채용 (전문연구요원 채용 가능),"경기 성남시 분당구,신입경력정규직 외,석사↑","웹개발,프론트엔드,딥러닝,머신러닝,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47932611
81,(주)헤링스,머신러닝 엔지니어 채용,"서울 강남구,3 ~ 6년정규직,대학교(4년)↑","머신러닝,AI(인공지능),Python,딥러닝,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47930366
82,(주)인터엑스,"[서울] AI Researcher (언어모델, LLM, NLP)","서울전체 외,2 ~ 7년정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47637861
83,(주)트루엔,AI 개발자,"서울전체 외,3 ~ 15년정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47912171
84,(주)앤씨앤,컴퓨터 비전 기반 딥러닝 인식 Researcher 모집,"경기전체 외,신입경력정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47905529
85,(주)에스에이티,(주)에스에이티 기술연구소 영상개발팀 개발자 모집,"경기 군포시 외,신입경력정규직,대학(2,3년)↑","백엔드/서버개발,앱개발,유지보수,프론트엔드,SI개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47853971
86,(주)딥파인,AI Engineer,"서울 용산구,경력 3년↑정규직,대학교(4년)↑","딥러닝,머신러닝,솔루션,AR(증강현실),VR(가상현실)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47917869
87,(주)앤씨앤,Computer vision 및 Algorithm 개발자 모집,"경기전체 외,3 ~ 10년정규직,대학교(4년)↑","데이터분석가,딥러닝,머신러닝,블록체인,빅데이터",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47905535
88,(주)에이치아이티에스,딥 러닝 전문 인력(알고리즘 연구 / 개발) 모집 (신입 / 경력),"경기전체 외,경력무관정규직,대학교(4년)↑","딥러닝,머신러닝,알고리즘,영상처리,이미지프로세싱",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47913163
89,(주)유니유니,[유니유니] 함께 성장할 AI엔지니어 채용,"경기 성남시 분당구,경력 5년↑정규직 외,대학교(4년)↑","딥러닝,IoT,AI(인공지능),머신러닝,모델링",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47690195
90,테크빌교육(주),"[테크빌교육]AI 프로그램, 모듈, 라이브러리 개발자 채용","서울 강남구,경력 8년↑정규직,학력무관","데이터분석가,데이터엔지니어,백엔드/서버개발,앱개발,웹개발",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47855026
91,(주)데이블,Senior Machine Learning Engineer (4년 이상),"서울 강남구,4 ~ 10년정규직,대학교(4년)↑","데이터엔지니어,딥러닝,머신러닝,모델링,AWS",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47652978
92,(주)지브이랩,"머신 비전 프로그램 개발자 모집(딥러닝, 이미지 프로세싱, C++)","서울 금천구,경력무관정규직,학력무관","딥러닝,머신러닝,알고리즘",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47904960
93,(주)에이치비테크놀러지,Vision 영상처리(2D/3D) S/W 개발,"서울 강남구,경력(년수무관)정규직,대학교(4년)↑","딥러닝,알고리즘,영상처리,이미지프로세싱,Python",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47904721
94,휴먼교육센터,[휴먼교육센터]머신러닝 빅데이터 강사 채용[서울 영등포 센터],"서울 영등포구,경력 3년↑정규직 외,대학교(4년)↑","딥러닝,머신러닝,빅데이터,AI(인공지능)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47901112
95,숭실대학교산학협력단,숭실대 지역지능화혁신인재양성사업-서초구 기업체 인턴 모집,"서울 서초구,경력무관인턴직,대학(2,3년)↑","AI(인공지능),Java,데이터라벨링,딥러닝,머신러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47884152
96,(주)클래스팅,ML Ops 엔지니어,"서울 강남구,경력 2년↑정규직,학력무관","머신러닝,Docker,Git,딥러닝",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47762848
97,아몽솔루션(주),"연구소 개발자 채용 (학사이상, 석사이상)","서울전체 외,경력무관정규직,학력무관","유지보수,딥러닝,솔루션,알고리즘,영상처리",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=list&rec_idx=47895808
